product,price,link,years,kilometraje,_created,id,location_city,location_state
Renault Duster 2.0 Dynamique 4x2 At,54000000,https://carro.mercadolibre.com.co/MCO-2431437704-renault-duster-20-dynamique-4x2-at-2017-_JM#position=48&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2017,65000,2024-06-07,2431437704,Medellín,Antioquia
Honda Cr-v 2.4 Ex,37000000,https://carro.mercadolibre.com.co/MCO-2445621104-honda-crv-ex-24-_JM#position=1&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2002,156000,2024-06-13,2445621104,Usaquén,Bogotá D.C.
Ford Fiesta 1.6 Sportback Se Mecánica,42000000,https://carro.mercadolibre.com.co/MCO-2445607656-ford-fiesta-sportback-16-_JM#position=2&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2015,59900,2024-06-13,2445607656,Barrios Unidos,Bogotá D.C.
Mazda 3 2.5 Grand Touring,115000000,https://carro.mercadolibre.com.co/MCO-2445581718-mazada-3-grand-touring-25-_JM#position=3&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2022,29000,2024-06-13,2445581718,Usaquén,Bogotá D.C.
Ford Fiesta 1.6 Hatchback Se,40900000,https://carro.mercadolibre.com.co/MCO-2445606910-ford-fiesta-hatchback-16-_JM#position=4&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2016,76000,2024-06-13,2445606910,Usaquén,Bogotá D.C.
Bmw X4 2.0 Xdrive20i,119000000,https://carro.mercadolibre.com.co/MCO-2445618350-bmw-x4-xdrive20i-20-2016-_JM#position=5&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2016,111309,2024-06-13,2445618350,Caldas,Antioquia
Volkswagen Voyage 1.6 Trendline,41000000,https://carro.mercadolibre.com.co/MCO-2445605068-volkswagen-voyage-trendline-16-_JM#position=6&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2019,44000,2024-06-13,2445605068,Kennedy,Bogotá D.C.
Ford Ecosport 2.0 L 4x4 Mt,37500000,https://carro.mercadolibre.com.co/MCO-2445656556-ford-ecosport-20-4x4-mt-2011-_JM#position=7&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2011,161000,2024-06-13,2445656556,Medellín,Antioquia
Hyundai Elantra I35 Elantra Gls  1.6  2014,50200000,https://carro.mercadolibre.com.co/MCO-2445630654-hyundai-i35-elantra-gls-16-mt-2014-_JM#position=8&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2014,29700,2024-06-13,2445630654,Usaquén,Bogotá D.C.
Bmw I3 Loft,96800000,https://carro.mercadolibre.com.co/MCO-2445630528-bmw-i3-2017-electrico-_JM#position=9&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2017,38160,2024-06-13,2445630528,Usaquén,Bogotá D.C.
Suzuki Swift 1.2 Dzire,48000000,https://carro.mercadolibre.com.co/MCO-2445630416-suzuki-swift-12-dzire-2023-_JM#position=10&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2023,60000,2024-06-13,2445630416,Sabaneta,Antioquia
Ford Fiesta 1.6 Hatchback Titanium,37000000,https://carro.mercadolibre.com.co/MCO-2445630228-ford-fiesta-hatchback-titanium-at-16-2016-_JM#position=11&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2016,44300,2024-06-13,2445630228,Chapinero,Bogotá D.C.
Toyota Corolla 1.8 Xe-i,98000000,https://carro.mercadolibre.com.co/MCO-2445578758-toyota-corolla-xe-i-hybrid-at-18-2022-_JM#position=12&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2022,29000,2024-06-13,2445578758,Usaquén,Bogotá D.C.
Renault Scenic 2.0,23000000,https://carro.mercadolibre.com.co/MCO-2445629724-renault-scenic-ii-at-20-2007-_JM#position=13&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2007,171000,2024-06-13,2445629724,Usaquén,Bogotá D.C.
Toyota Fortuner 2.8 Srv,290000000,https://carro.mercadolibre.com.co/MCO-2445627860-toyota-fortuner-28-srv-2023-_JM#position=14&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2023,4913,2024-06-13,2445627860,Tunjuelito,Bogotá D.C.
Chevrolet Aveo Emotion 1.6 Gti,25000000,https://carro.mercadolibre.com.co/MCO-2445544654-chevrolet-aveo-16-emotion-2012-_JM#position=15&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2012,169265,2024-06-13,2445544654,Ciudad Bolívar,Bogotá D.C.
Ford Escape 2.0 Se 4x4,55000000,https://carro.mercadolibre.com.co/MCO-1436606221-ford-escape-_JM#position=16&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2014,70604,2024-06-13,1436606221,Usaquén,Bogotá D.C.
Renault Scénic 1.6 Mt,23800000,https://carro.mercadolibre.com.co/MCO-1436696105-renault-scenic-16-mt-2009-_JM#position=17&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2009,164134,2024-06-13,1436696105,Medellín,Antioquia
Toyota Fortuner 3.0 Srv,155000000,https://carro.mercadolibre.com.co/MCO-2445549682-toyota-fortuner-30-srv-2016-_JM#position=18&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2016,91000,2024-06-13,2445549682,Ciudad Bolívar,Bogotá D.C.
Ford Fiesta 1.6 Sportback Se Mecánica,34500000,https://carro.mercadolibre.com.co/MCO-1436644023-ford-fiesta-16-sportback-se-2015-_JM#position=19&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2015,126225,2024-06-13,1436644023,Rafael Uribe Uribe,Bogotá D.C.
Mercedes-benz Clase Glc 2.0 4matic Glc300 At,220000000,https://carro.mercadolibre.com.co/MCO-1436657039-mercedes-benz-glc-300-4matic-2021-_JM#position=20&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2021,31000,2024-06-13,1436657039,Medellín,Antioquia
Renault Sandero 1.6 Life,44500000,https://carro.mercadolibre.com.co/MCO-1436656955-renault-sandero-16-life--_JM#position=21&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2022,25200,2024-06-13,1436656955,Suba,Bogotá D.C.
Nissan Tiida 1.8 Mt,32000000,https://carro.mercadolibre.com.co/MCO-1436618543-nissan-tiida-_JM#position=22&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2008,58800,2024-06-13,1436618543,Usaquén,Bogotá D.C.
Nissan Tiida 1.8 Premium 5 P,28600000,https://carro.mercadolibre.com.co/MCO-1436630231-nissan-tiida-hb-premium-at-18-2008-_JM#position=23&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2008,90000,2024-06-13,1436630231,Usaquén,Bogotá D.C.
Volkswagen Tiguan 2.0 Tsi Elgance,138000000,https://carro.mercadolibre.com.co/MCO-2445541780-volkswagen-tiguan-elegance-20-tsi-4motion-20-2022-_JM#position=24&search_layout=grid&type=item&tracking_id=6ec3696c-fecd-4887-b86b-2563f0244a78,2022,17352,2024-06-13,2445541780,Suba,Bogotá D.C.
